song_id,genre
(G)I-DLE -TOMBOY,Angst
01 Acapulco,Romantic Ballad
01 Coven - 2021,Game Soundtrack
01 Everything Goes On,Game Soundtrack
01 Legends Never Die,Game Soundtrack
01 Puppet,Romantic Ballad
"01 Seraphine, The Starry - Eyed Song",Game Soundtrack
01 Starts Right Here (feat. Kenny Mason),Game Soundtrack
"01 Take Over (feat. Jeremy McKinnon,",Game Soundtrack
01. Playground (from the series Arcane League of Legends),Soundtrack
02. Our Love (from the series Arcane League of Legends),Soundtrack
03. Goodbye (from the series Arcane League of Legends),Soundtrack
04 Running Up That Hill (A Deal with,Singles
04. Dirty Little Animals (from the series Arcane League of Legends),Soundtrack
05. Enemy feat. J.I.D. (from the series Arcane League of Legends),Soundtrack
06. Guns for Hire (from the series Arcane League of Legends),Soundtrack
07. Misfit Toys (from the series Arcane League of Legends),Soundtrack
08. Dynasties and Dystopia (from the series Arcane League of Legends),Soundtrack
09. Snakes (from the series Arcane League of Legends),Soundtrack
10. When Everything Went Wrong (from the series Arcane League of Legends),Soundtrack
11. What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),Soundtrack
14 - twenty one pilots - Drag Path,Angst
16 Choose Your Fighter,Romantic Ballad
2WORLDS -- Madge x VALORANT - Official Audio (64 kbps),Game Soundtrack
347aidan - Dancing in My Room,Game Soundtrack
A Little Wicked -- Valerie Broussard,Angst
Achilles Heel - J. Maya,Angst
Adam Jensen - The Mystic,Game Soundtrack
Alec Benjamin - One Wrong Turn,Angst
Alec Benjamin - Paper Crown,Romantic Ballad
Alexander Stewart - i wish you cheated,Romantic Ballad
ALL NIGHT  TYRANT - HANGMAN VERSION,Romantic Ballad
Angels - Vicetone (Edit),Angst
Anson Seabra - Keep Your Head Up Princess,Romantic Ballad
Apashe - More (Prelude),Angst
Arctic Monkeys - Do I Wanna Know,Angst
Artemas - i like the way you kiss me (64 kbps),Game Soundtrack
Ashley Sienna - What You Need,Angst
"Ashnikko, Yung Baby Tate - STUPID",Angst
Au-Ra - Dance in the Dark,Angst
Ava Max - Belladonna,Angst
Ayla D'Lyla - Money,Angst
Babooshka (2018 Remaster),Angst
Banners - Someone To You,Romantic Ballad
Bastille - Bad Blood,Romantic Ballad
Bebe Rexha - Break My Heart Myself (feat. Travis Barker),Angst
Bebe Rexha - I'm Gonna Show You Crazy,Angst
Benson Boone - Beautiful Things,Romantic Ballad
Besomorph - Army,Game Soundtrack
Besomorph - Not The One,Game Soundtrack
Besomorph - Redemption,Game Soundtrack
Beyoncé - MY HOUSE,Angst
Billie Eilish - Bored,Romantic Ballad
Billie Eilish - idontwannabeyouanymore,Romantic Ballad
Billie Eilish - you should see me in a crown,Angst
BIRDY RHODES - Let It All Go,Angst
Bishop Briggs - River,Angst
BLACKPINK - THE GIRLS,K-POP
Britney Spears - Circus,Angst
Bruno Mars - Talking to the Moon,Romantic Ballad
Bryce Fox - Horns,Angst
Cars Outside (Luca Schreiner Remix),Angst
Chandler Leighton - When You Say My Name,Angst
Chase Atlantic - Slow Down,Angst
Chicago - Cell Block Tango,Angst
Chinchilla - Little Girl Gone,Angst
Cigarettes After Sex - Cry,Romantic Ballad
CL -  HELLO BITCHES,Angst
Clean Bandit x Elley Duhé – Don’t Leave Me Lonely,Angst
Cloudy June - FU In My Head,Angst
COBRAH - GOOD PUSS,Angst
Conan Gray - Killing Me,Romantic Ballad
Conan Gray - Lookalike,Romantic Ballad
Conan Gray - The Exit,Romantic Ballad
Connor Price - Violet,Game Soundtrack
Cookiee Kawaii - Violin (feat. Dear Silas),Angst
Creepy Nuts - Bling-Bang-Bang-Born,Game Soundtrack
Cyn - Drinks,Angst
d4vd - Romantic Homicide,Romantic Ballad
David Kushner - Dead Man,Romantic Ballad
Dean Lewis - Hurtless,Romantic Ballad
Desperado - Rihanna,Angst
dhruv - double take,Romantic Ballad
Die For You (Dabin Remix) (64 kbps),Game Soundtrack
Djo - End of Beginning,Romantic Ballad
Doja Cat - Boss Bitch,Angst
Doja Cat - Gun,Romantic Ballad
Dove Cameron - Bad Idea,Angst
Dove Cameron - We Go Down Together,Angst
DPR IAN - So I Danced,Angst
Dua Lipa - Houdini,Romantic Ballad
Egzod - Don-'t Surrender,Game Soundtrack
Egzod - No Rival,Game Soundtrack
Egzod - Royalty,Game Soundtrack
Elita - Sour Switchblade,Angst
Elley Duhé - PIECES,Angst
Ellie Goulding - My Blood,Angst
Ellise - 911,Angst
Em Beihold - Too Precious,Angst
EMELINE - cinderella's dead,Angst
emlyn - temporary funeral,Angst
Everbody Wants To Rule The World - Lorde,Angst
Fairly Local - Twenty One Pilots,Angst
Faouzia - Hero (1),Romantic Ballad
FLETCHER - Serial Heartbreaker,Romantic Ballad
Flo Milli - Never Lose Me,Romantic Ballad
"Frawley - If I Don-'t Laugh, I-'ll Cry",Romantic Ballad
girl in red - Rue,Romantic Ballad
GIVĒON - Heartbreak Anniversary,Romantic Ballad
Good Neighbours - Home,Romantic Ballad
"Gracie Abrams - I miss you, I’m sorry",Romantic Ballad
grandson - Rain (with Jessie Reyez),Angst
Grant Knoche - ICARUS,Angst
Griff - Black Hole,Romantic Ballad
Groupthink - Buy likes,Angst
Hailee Steinfeld - SunKissing,Romantic Ballad
Halflives - Villain,Angst
Halle Abadi - BOYTOY,Angst
Halsey - Gasoline,Angst
Harry Styles - Carolina,Romantic Ballad
Harry Styles - Kiwi,Romantic Ballad
Harry Styles - Sweet Creature,Romantic Ballad
Harry Styles - Woman,Romantic Ballad
HEARTSTEEL - PARANOIA,Game Soundtrack
Henry Moodie - drunk text,Romantic Ballad
I DONT KNOW HOW BUT THEY FOUND ME -Choke,Angst
I Monster - Who Is She,Angst
I Will Carry You - Tommee Profitt & Stephen Stanley,Angst
I WISH I COULD HATE YOU FOR BREAKING ME AND CALLING IT LOVE,Angst
I've Had Enough - Melina KB,Angst
iamnotshane - Maybe My Soulmate Died,Angst
Imagine Dragons - Bones,Angst
Isabel LaRosa - im yours,Angst
Isabel LaRosa - older,Angst
Jade LeMac - Aimed to Kill,Angst
Jagwar Twin - Bad Feeling (Oompa Loompa),Angst
James Arthur - Car's Outside,Angst
Jann - Gladiator,Angst
Jax - Victoria-'s Secret,Romantic Ballad
JENNIE - You & Me,Romantic Ballad
Jeremy Zucker - this is how you fall in love,Romantic Ballad
Jessica Baio - trust issues,Romantic Ballad
Jessie Murph - Pray,Romantic Ballad
"Jnr Choi, Sam Tompkins - TO THE MOON",Angst
Joel Sunny - Luminary,Romantic Ballad
Johnny Orlando - someone will love you better,Romantic Ballad
Joji - SLOW DANCING IN THE DARK,Romantic Ballad
Jorge Rivera-Herrans - Just a Man,Angst
Josh Levi - ALL OVER AGAIN,Angst
Jvke - catch me,Romantic Ballad
Jvke - i-'m not okay,Romantic Ballad
Jvke - this is what autumn feels like,Romantic Ballad
Jvke - this is what falling out of love feels like,Romantic Ballad
Jvke - this is what heartbreak feels like,Romantic Ballad
Jvke - this is what losing someone feels like,Romantic Ballad
Jvke - this is what sadness feels like,Romantic Ballad
K-391 - Aurora,Game Soundtrack
K-DA - DRUM GO DUM,Game Soundtrack
K-DA - MORE,Game Soundtrack
K-DA - POP-STARS,Game Soundtrack
K-DA - THE BADDEST,Game Soundtrack
K-DA - VILLAIN,Game Soundtrack
Kailee Morgue - Siren,Angst
Katie Gregson-MacLeod - complex (demo),Romantic Ballad
Keane - Somewhere Only We Know,Romantic Ballad
Labrinth - Jealous,Romantic Ballad
Lana Del Rey - Lolita,Angst
Lana Del Rey - Radio,Romantic Ballad
Lana Del Rey – Season of the Witch,Angst
Laura Karpman - Ms. Marvel Suite,Angst
Lauren Spencer Smith - Best Friend Breakup,Romantic Ballad
League of Legends - As We Fall,Game Soundtrack
League of Legends - Awaken,Game Soundtrack
League of Legends - Burn It All Down,Game Soundtrack
League of Legends - Burning Bright,Game Soundtrack
League of Legends - Fire To The Fuse,Game Soundtrack
League of Legends - Get Jinxed,Game Soundtrack
League of Legends - GODS,Game Soundtrack
League of Legends - Legends Never Die,Game Soundtrack
League of Legends - Piercing Light,Game Soundtrack
League of Legends - REMIX RUMBLE,Game Soundtrack
League of Legends - RISE,Game Soundtrack
League of Legends - The Curse of the Sad Mummy,Game Soundtrack
League of Legends - Warriors,Game Soundtrack
League of Legends - Worlds Collide,Game Soundtrack
Lesley Gore - You Don't Own Me,Angst
Lewis Blissett - Killing Butterflies,Angst
Lewis Capaldi - Before You Go,Romantic Ballad
Lewis Capaldi - Bruises,Romantic Ballad
Lewis Capaldi - Forget Me,Romantic Ballad
Lewis Capaldi - Hold Me While You Wait,Romantic Ballad
Lewis Capaldi - Pointless,Romantic Ballad
Lewis Capaldi - Someone You Loved (1),Romantic Ballad
Lewis Capaldi - Wish You The Best,Romantic Ballad
Lexi Jayde - drunk text me,Romantic Ballad
Little Mermaid - Poor Unfortunate Souls,Angst
Loki Green Theme - Natalie Holt,Game Soundtrack
Lorde - Team,Angst
Lost Sky - Fearless,Game Soundtrack
Lucifer - Elle Lexxa,Angst
LUNA AURA - HONEY,Angst
M.I.A. - Bad Girls,Angst
Madalen Duke - How Villains Are Made,Angst
Madison Beer - Good In Goodbye,Romantic Ballad
Madison Beer - Make You Mine,Romantic Ballad
Madison Beer - Showed Me (How I Fell In Love With You),Angst
Maisie Peters - Smile,Angst
Massacre - Kim Petras,Angst
Meg Smith - Cross My Heart I Hope U Die,Angst
Megan Thee Stallion - HISS,Angst
Melanie Martinez - EVIL,Angst
Melanie Martinez - Mad Hatter,Angst
Michael Bublé - Feeling Good,Angst
"Mickey Valen, Joey Myron - Chills (Dark Version)",Angst
MIDDLE OF THE NIGHT,Angst
Miley Cyrus - Angels Like You,Romantic Ballad
Miley Cyrus - Mother's Daughter,Angst
Mimi Webb - Good Without,Romantic Ballad
MISSIO - I Dont Even Care About You,Angst
Mitski - My Love Mine All Mine,Romantic Ballad
Mother Mother - Hayloft,Angst
Mother Mother - Verbatim,Angst
My Chemical Romance - Teenagers,Angst
Natalie Jane - AVA,Angst
Natalie Jane - Seven,Angst
NATURE,Angst
Nelly Furtado - Maneater,Angst
Neoni - DARKSIDE,Angst
Neoni - LOSER,Angst
Neoni - OUTLAW,Angst
Neoni - Paranoia,Angst
Neoni - VILLAIN,Angst
Nessa Barrett - die first,Romantic Ballad
New West - Those Eyes (1),Romantic Ballad
NF - Let You Down,Game Soundtrack
NF - The Search,Game Soundtrack
Niall Horan - Meltdown,Romantic Ballad
Nina Tribus - Beneath My Throne,Angst
Nina Tribus - Medusa,Angst
Nirvana - Something In The Way,Angst
Noah Cyrus - July,Romantic Ballad
Noah Kahan - Stick Season,Romantic Ballad
Olivia Rodrigo - Can’t Catch Me Now,Romantic Ballad
One True God x The Tech Thieves - Keep You (64 kbps),Game Soundtrack
Panic Room - Au-Ra,Angst
Paris Paloma - labour,Angst
Peter Gabriel - Heroes,Angst
Phoenix,Game Soundtrack
Poor Marionette - Sarah Cothran,Angst
Poppy - I Disagree,Angst
Porter Robinson - Everything Goes On,Game Soundtrack
Poylow - Hate You,Game Soundtrack
Prismo - Solo,Game Soundtrack
Rachel Zegler - The Hanging Tree,Romantic Ballad
Radiohead - Everything In Its Right Place,Angst
Radiohead - No Surprises,Angst
Red Leather - SINS,Angst
rhianne - Somewhere Only We Know,Romantic Ballad
Richard Carter - Le Monde,Romantic Ballad
Richy Mitch & The Coal Miners - Evergreen,Romantic Ballad
Robin Hustin - Light It Up,Game Soundtrack
RudyWade - Trapped in a Dream,Game Soundtrack
Ruelle - Monsters,Angst
Run Boy Run - Woodkid,Angst
Sabai - Scared,Game Soundtrack
Sabrina Carpenter - Feather,Romantic Ballad
Sad Night Dynamite - Smoke Hole (Edit),Angst
salem ilese - don-'t shop when ur hungry !! (feat. vaultboy),Angst
Sara Kays - Remember That Night,Romantic Ballad
Sarah Jeffery - Queen of Mean,Angst
Sasha Alex Sloan - Lie,Romantic Ballad
Scissor Sisters - I Can't Decide,Angst
She Bad (64 kbps),Game Soundtrack
Slush Puppy - EAT SPIT! (feat. Royal & the Serpent),Angst
SNOW WIFE - AMERICAN HORROR SHOW,Angst
Soap&Skin - Me and the Devil,Hannibal 🖕 Will
Sohodolls - Bang Bang Bang Bang,Angst
SpotiDownloader.com - 12 to 12 - sombr,Romantic Ballad
SpotiDownloader.com - 1950 - King Princess,Romantic Ballad
SpotiDownloader.com - 3am - Halsey,Romantic Ballad
spotidownloader.com - After Midnight - Chappell Roan,Romantic Ballad
SpotiDownloader.com - Again (feat. XXXTENTACION) - Noah Cyrus,Romantic Ballad
SpotiDownloader.com - All The Things She Said - t.A.T.u.,Angst
SpotiDownloader.com - Alone - Halsey,Angst
SpotiDownloader.com - Alter Ego (with JT) - Doechii,Angst
SpotiDownloader.com - Angry Too - Lola Blanc,Angst
SpotiDownloader.com - Anxiety - Doechii,Romantic Ballad
SpotiDownloader.com - Apocalypse - Cigarettes After Sex,Romantic Ballad
SpotiDownloader.com - back to friends - sombr,Romantic Ballad
SpotiDownloader.com - Bad At Love - Halsey,Romantic Ballad
SpotiDownloader.com - Before He Cheats - Carrie Underwood,Angst
SpotiDownloader.com - Black Friday - Tom Odell,Romantic Ballad
SpotiDownloader.com - Bloodline (with Jelly Roll) - Alex Warren,Romantic Ballad
SpotiDownloader.com - Blow - Kesha,Romantic Ballad
SpotiDownloader.com - Boom Clap - Charli xcx,Romantic Ballad
SpotiDownloader.com - Born With a Broken Heart - Damiano David,Romantic Ballad
SpotiDownloader.com - Boyfriend - Dove Cameron,Angst
SpotiDownloader.com - Breakin' Dishes - Rihanna,Romantic Ballad
SpotiDownloader.com - Breathe - Olly Alexander (Years & Years),Angst
spotidownloader.com - Busy Woman - Sabrina Carpenter,Romantic Ballad
SpotiDownloader.com - Cake - Melanie Martinez,Angst
spotidownloader.com - California - Chappell Roan,Romantic Ballad
SpotiDownloader.com - Can't Hold Us (feat. Ray Dalton) - Macklemore,Romantic Ballad
SpotiDownloader.com - Castle - Halsey,Angst
SpotiDownloader.com - Chest Pain (I Love) - Malcolm Todd,Romantic Ballad
SpotiDownloader.com - Closer to the moon - Anya Nami,Romantic Ballad
spotidownloader.com - Coffee - Chappell Roan,Romantic Ballad
spotidownloader.com - Come Back for Me - Jaymes Young,Hannibal 🖕 Will
SpotiDownloader.com - Confident - Demi Lovato,Angst
SpotiDownloader.com - Control - Halsey,Angst
SpotiDownloader.com - Die On This Hill - SIENNA SPIRO,Romantic Ballad
SpotiDownloader.com - Drinking with Cupid - VOILÀ,Angst
spotidownloader.com - DtMF - Bad Bunny,Romantic Ballad
SpotiDownloader.com - Duvet - bôa,Romantic Ballad
SpotiDownloader.com - dying on the inside - Nessa Barrett,Angst
spotidownloader.com - earthquake - JISOO,Romantic Ballad
SpotiDownloader.com - EGO - Qing Madi,Game Soundtrack
SpotiDownloader.com - Elastic Heart - Sia,Romantic Ballad
SpotiDownloader.com - End of the World - Miley Cyrus,Romantic Ballad
SpotiDownloader.com - Eternity - Alex Warren,Romantic Ballad
SpotiDownloader.com - Everything is romantic - Charli xcx,Romantic Ballad
SpotiDownloader.com - Everything is romantic featuring caroline polachek - Charli xcx,Romantic Ballad
SpotiDownloader.com - Eyes Closed - Imagine Dragons,Angst
SpotiDownloader.com - Falling In Love - Cigarettes After Sex,Romantic Ballad
SpotiDownloader.com - Figure You Out - VOILÀ,Angst
SpotiDownloader.com - Fix You - Coldplay,Romantic Ballad
SpotiDownloader.com - Gabriela - KATSEYE,Angst
"SpotiDownloader.com - Girl, so confusing featuring lorde - Charli xcx",Romantic Ballad
SpotiDownloader.com - Give Your Heart A Break (with robbietheused) - Rock Version - Demi Lovato,Angst
SpotiDownloader.com - Gnarly - KATSEYE,Angst
SpotiDownloader.com - GOSSIP (feat. Tom Morello) - Måneskin,Angst
SpotiDownloader.com - Hard Times - Paramore,Angst
SpotiDownloader.com - Heavy - The Marías,Romantic Ballad
SpotiDownloader.com - her - JVKE,Romantic Ballad
SpotiDownloader.com - Hold My Hand - Jess Glynne,Romantic Ballad
SpotiDownloader.com - Honeypie - JAWNY,Romantic Ballad
SpotiDownloader.com - Hot N Cold - Katy Perry,Romantic Ballad
SpotiDownloader.com - How I'd Kill - Cowboy Malfoy,Angst
SpotiDownloader.com - How to Be a Heartbreaker - MARINA,Angst
"SpotiDownloader.com - I Love You, I'm Sorry - Gracie Abrams",Romantic Ballad
SpotiDownloader.com - idfc - blackbear,Romantic Ballad
SpotiDownloader.com - Illegal - PinkPantheress,Romantic Ballad
SpotiDownloader.com - Je te laisserai des mots - Patrick Watson,Romantic Ballad
SpotiDownloader.com - Just Keep Watching (From F1® The Movie) - Tate McRae,Romantic Ballad
SpotiDownloader.com - Kiss Me - Sixpence None The Richer,Romantic Ballad
SpotiDownloader.com - LABOUR - the cacophony - Paris Paloma,Angst
SpotiDownloader.com - Like A Villain - Bad Omens,Angst
SpotiDownloader.com - Love Me Not - Ravyn Lenae,Romantic Ballad
SpotiDownloader.com - Lover Girl - Laufey,Romantic Ballad
spotidownloader.com - luther (with sza) - Kendrick Lamar,Romantic Ballad
SpotiDownloader.com - MAMMAMIA - Måneskin,Angst
SpotiDownloader.com - Man Of The Year - Lorde,Angst
SpotiDownloader.com - Manchild - Sabrina Carpenter,Romantic Ballad
SpotiDownloader.com - Mercy - Shawn Mendes,Romantic Ballad
SpotiDownloader.com - Mess It Up - Gracie Abrams,Romantic Ballad
SpotiDownloader.com - My Girl - Isabel LaRosa,Romantic Ballad
SpotiDownloader.com - my lawyer said don't - VALORANT,Game Soundtrack
spotidownloader.com - Naked In Manhattan - Chappell Roan,Romantic Ballad
SpotiDownloader.com - Next Semester - Twenty One Pilots,Angst
SpotiDownloader.com - Next Summer - Damiano David,Romantic Ballad
SpotiDownloader.com - Nightmare - Halsey,Angst
SpotiDownloader.com - No Broke Boys - Disco Lines,Angst
SpotiDownloader.com - No One Noticed - The Marías,Romantic Ballad
SpotiDownloader.com - No. 1 Party Anthem - Arctic Monkeys,Romantic Ballad
SpotiDownloader.com - Nobody Gets Me - SZA,Romantic Ballad
SpotiDownloader.com - Nobody New - The Marías,Romantic Ballad
SpotiDownloader.com - Nothing Breaks Like a Heart - Spotify Singles - Damiano David,Romantic Ballad
SpotiDownloader.com - Nothing's Gonna Hurt You Baby - Cigarettes After Sex,Romantic Ballad
SpotiDownloader.com - One Dance - Drake,Angst
